Cpu name,Cores,Threads
AMD EPYC 7713 64-Core Processor,64.0,128.0
AMD EPYC 75F3 32-Core Processor,32.0,64.0
AMD EPYC 7642 48-Core Processor,48.0,96.0
AMD EPYC 7763 64-Core Processor,64.0,128.0
AMD EPYC 7713 64-Core Processor,64.0,128.0
AMD EPYC 7662 64-Core Processor,64.0,128.0
AMD EPYC 7702 64-Core Processor,64.0,128.0
AMD EPYC 7502 32-Core Processor,32.0,64.0
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28.0,56.0
AMD EPYC 7552 48-Core Processor,48.0,96.0
AMD EPYC 7642 48-Core Processor,48.0,96.0
Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,26.0,52.0
No-Info,-1.0,1.0
AMD Ryzen Threadripper 3990X 64-Core Processor,64.0,128.0
Intel(R) Xeon(R) Gold 6152 CPU @ 2.10GHz,22.0,44.0
AMD EPYC 7542 32-Core Processor,32.0,64.0
Intel(R) Xeon(R) Gold 6230N CPU @ 2.30GHz,20.0,40.0
AMD EPYC 7502P 32-Core Processor,32.0,64.0
AMD EPYC 7532 32-Core Processor,32.0,64.0
AMD EPYC 7502 32-Core Processor,32.0,64.0
No-Info,-1.0,1.0
AMD EPYC 7452 32-Core Processor,32.0,64.0
No-Info,-1.0,1.0
AMD EPYC 7F72 24-Core Processor,24.0,48.0
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18.0,36.0
Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,18.0,36.0
Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,20.0,40.0
AMD EPYC 7402 24-Core Processor,24.0,48.0
AMD EPYC 7402P 24-Core Processor,24.0,48.0
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28.0,56.0
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,28.0,56.0
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,16.0,32.0
AMD EPYC 7352 24-Core Processor,24.0,48.0
AMD EPYC 7501 32-Core Processor,32.0,64.0
No-Info,-1.0,1.0
AMD EPYC 7F52 16-Core Processor,16.0,32.0
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,16.0,32.0
AMD EPYC 7371 16-Core Processor,16.0,32.0
No-Info,14.0,28.0
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18.0,36.0
AMD Ryzen 9 5950X 16-Core Processor,16.0,32.0
AMD EPYC 7601 32-Core Processor,32.0,64.0
AMD Ryzen 9 3950X 16-Core Processor,16.0,32.0
AMD EPYC 7302 16-Core Processor,16.0,32.0
AMD EPYC 7302P 16-Core Processor,16.0,32.0
AMD Ryzen 9 5900X 12-Core Processor,12.0,24.0
Intel(R) Xeon(R) Gold 6210U CPU @ 2.50GHz,20.0,40.0
AMD EPYC 7F32 8-Core Processor,8.0,16.0
AMD EPYC 7282 16-Core Processor,16.0,32.0
AMD EPYC 7301 16-Core Processor,16.0,32.0
Intel(R) Core(TM) i9-7960X CPU @ 2.80GHz,16.0,32.0
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16.0,32.0
Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,20.0,40.0
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18.0,36.0
No-Info,-1.0,1.0
AMD Ryzen 9 3900X 12-Core Processor,12.0,24.0
AMD EPYC 7401P 24-Core Processor,24.0,48.0
AMD Ryzen 9 3900XT 12-Core Processor,12.0,24.0
No-Info,10.0,10.0
No-Info,10.0,20.0
AMD Ryzen Threadripper 2950X 16-Core Processor,16.0,32.0
No-Info,-1.0,1.0
Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,10.0,20.0
No-Info,10.0,20.0
AMD EPYC 7272 12-Core Processor,12.0,24.0
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,16.0,32.0
AMD Ryzen 7 5800X 8-Core Processor,8.0,16.0
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16.0,32.0
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10.0,20.0
No-Info,10.0,20.0
AMD EPYC 7351P 16-Core Processor,16.0,32.0
No-Info,8.0,16.0
Intel(R) Core(TM) i7-7900X CPU @ 3.30GHz,10.0,20.0
No-Info,-1.0,1.0
No-Info,8.0,16.0
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,8.0,16.0
No-Info,10.0,20.0
AMD Ryzen 7 3700X 8-Core Processor,8.0,16.0
AMD EPYC 7F32 8-Core Processor,8.0,16.0
Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,12.0,24.0
AMD Ryzen 7 3800X 8-Core Processor,8.0,16.0
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8.0,16.0
AMD Ryzen 5 5600X 6-Core Processor,6.0,12.0
Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,10.0,20.0
No-Info,-1.0,1.0
Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,8.0,16.0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8.0,16.0
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8.0,16.0
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,8.0,16.0
AMD EPYC 7252 8-Core Processor,8.0,16.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
AMD EPYC 7232P 8-Core Processor,8.0,16.0
AMD EPYC 7262 8-Core Processor,8.0,16.0
11th Gen Intel(R) Core(TM) i5-11600K @ 3.90GHz,6.0,12.0
Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,10.0,20.0
AMD Ryzen 5 3600X 6-Core Processor,6.0,12.0
No-Info,-1.0,1.0
Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,8.0,16.0
No-Info,6.0,12.0
Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,8.0,8.0
No-Info,6.0,12.0
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6.0,12.0
Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz,6.0,12.0
Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz,8.0,16.0
Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,10.0,20.0
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6.0,12.0
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,8.0,16.0
Intel(R) Xeon(R) CPU E5-2637 v4 @ 3.50GHz,4.0,8.0
No-Info,6.0,12.0
AMD Ryzen 7 4800H with Radeon Graphics,8.0,16.0
Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz,6.0,12.0
AMD Ryzen 7 2700X Eight-Core Processor,8.0,16.0
Intel(R) Xeon(R) CPU E5-1680 v3 @ 3.20GHz,8.0,16.0
Intel(R) Xeon(R) E-2286M  CPU @ 2.40GHz,8.0,16.0
No-Info,-1.0,1.0
AMD Ryzen 5 PRO 4650G with Radeon Graphics,6.0,12.0
AMD Ryzen 7 1700X Eight-Core Processor,8.0,16.0
AMD Ryzen 7 1800X Eight-Core Processor,8.0,16.0
Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,8.0,16.0
AMD Ryzen 7 2700 Eight-Core Processor,8.0,16.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,6.0,12.0
Intel(R) Xeon(R) E-2278GEL CPU @ 2.00GHz,8.0,16.0
AMD Ryzen 7 1700 Eight-Core Processor,8.0,16.0
AMD Ryzen 5 2600X Six-Core Processor,6.0,12.0
Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz,6.0,12.0
AMD Ryzen 3 3100 4-Core Processor,4.0,8.0
Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,6.0,12.0
Intel(R) Core(TM) i9-8950HK CPU @ 2.90GHz,6.0,12.0
AMD EPYC 7251 8-Core Processor,8.0,16.0
AMD Ryzen 3 3300X 4-Core Processor,4.0,8.0
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,6.0,12.0
AMD Ryzen 5 2600 Six-Core Processor,6.0,12.0
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,6.0,12.0
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,8.0,16.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
AMD Ryzen 7 4700U with Radeon Graphics,8.0,8.0
AMD Ryzen 5 1600X Six-Core Processor,6.0,12.0
No-Info,6.0,12.0
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4.0,8.0
No-Info,8.0,16.0
AMD Ryzen 5 1600 Six-Core Processor,6.0,12.0
No-Info,6.0,12.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,4.0,8.0
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6.0,6.0
No-Info,6.0,12.0
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,4.0,8.0
Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz,4.0,8.0
No-Info,-1.0,1.0
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6.0,6.0
Intel(R) Xeon(R) CPU E3-1275 v6 @ 3.80GHz,4.0,8.0
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4.0,4.0
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,6.0,12.0
Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,4.0,8.0
Intel(R) Core(TM) i7-9700TE CPU @ 1.80GHz,8.0,8.0
AMD Ryzen 5 4500U with Radeon Graphics,6.0,6.0
No-Info,-1.0,1.0
Intel(R) Xeon(R) CPU E3-1260L v5 @ 2.90GHz,4.0,8.0
Intel(R) Core(TM) i7-5775C CPU @ 3.30GHz,4.0,8.0
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,4.0,8.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,6.0,12.0
No-Info,4.0,8.0
No-Info,4.0,8.0
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,4.0,8.0
AMD FX-8370 Eight-Core Processor,4.0,8.0
No-Info,4.0,8.0
No-Info,4.0,4.0
No-Info,4.0,8.0
AMD FX(tm)-8350 Eight-Core Processor,4.0,8.0
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4.0,8.0
No-Info,4.0,8.0
No-Info,-1.0,1.0
No-Info,4.0,8.0
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,4.0,4.0
No-Info,4.0,8.0
Intel(R) Xeon(R) CPU E3-1505M v6 @ 3.00GHz,4.0,8.0
No-Info,-1.0,1.0
AMD FX(tm)-8320 Eight-Core Processor,4.0,8.0
No-Info,4.0,8.0
Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,4.0,8.0
AMD Ryzen 5 3400G with Radeon Vega Graphics,4.0,8.0
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz,4.0,8.0
Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,-1.0,1.0
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,4.0,8.0
No-Info,4.0,4.0
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4.0,8.0
No-Info,4.0,4.0
Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,4.0,8.0
No-Info,4.0,8.0
AMD Ryzen 5 2400G with Radeon Vega Graphics,4.0,8.0
Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz,4.0,8.0
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4.0,8.0
Intel(R) Core(TM) i7-4810MQ CPU @ 2.80GHz,4.0,8.0
No-Info,-1.0,1.0
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4.0,8.0
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,4.0,4.0
Intel(R) Xeon(R) CPU E5-2609 v4 @ 1.70GHz,8.0,8.0
Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,4.0,8.0
No-Info,-1.0,1.0
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,4.0,8.0
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4.0,4.0
No-Info,-1.0,1.0
AMD Ryzen 3 1300X Quad-Core Processor,4.0,4.0
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,4.0,4.0
No-Info,-1.0,1.0
Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,4.0,8.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,4.0,8.0
AMD Ryzen 3 2200G with Radeon Vega Graphics,4.0,4.0
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,4.0,4.0
Intel(R) Xeon(R) CPU E5-2403 v2 @ 1.80GHz,4.0,4.0
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,4.0,4.0
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4.0,8.0
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,4.0,4.0
No-Info,4.0,4.0
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,4.0,8.0
No-Info,4.0,4.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,6.0,6.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4.0,4.0
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,2.0,4.0
Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,4.0,4.0
Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,2.0,4.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
Loongson-3A5000,4.0,4.0
"AMD A10-7870K Radeon R7, 12 Compute Cores 4C+8G",2.0,4.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2.0,4.0
Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,8.0,16.0
No-Info,4.0,4.0
No-Info,-1.0,1.0
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2.0,4.0
No-Info,4.0,4.0
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,2.0,4.0
No-Info,4.0,8.0
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,2.0,4.0
No-Info,2.0,4.0
No-Info,-1.0,1.0
No-Info,2.0,4.0
No-Info,2.0,4.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,1.0,2.0
