Cpu name,Percentile,Average,St D
Apple M1,100th,22,-
Intel Core i9-10900K,99th,26,1
Intel Core i7-1165G7,99th,27,2
Intel Core i9-9900KS,97th,28,-
AMD Ryzen 7 5800X 8-Core,97th,28,-
AMD Ryzen 9 5950X 16-Core,97th,28,3
Intel Core i9-10980XE,97th,28,2
AMD Ryzen 7 PRO 4750G,96th,28,2
Intel Core i5-10600K,96th,29,-
AMD Ryzen 9 5900X 12-Core,95th,29,2
AMD Ryzen 5 5600X 6-Core,95th,29,-
Intel Core i9-7920X,95th,29,-
AMD Ryzen Threadripper 3990X 64-Core,94th,30,1
Intel Core i9-9900K,94th,30,3
AMD Ryzen 9 3900XT 12-Core,94th,30,1
Intel Core i7-8700B,93rd,31,1
AMD Ryzen 9 3950X 16-Core,92nd,31,1
AMD Ryzen Threadripper 3970X 32-Core,91st,31,1
AMD Ryzen 3 3300X 4-Core,91st,31,-
AMD Ryzen 7 3800X 8-Core,91st,32,1
Intel Core i7-8086K,90th,32,-
Intel Core i3-10100,89th,33,-
AMD Ryzen 5 3600 6-Core,89th,33,1
AMD Ryzen 9 3900X 12-Core,89th,33,3
Intel Core i7-7567U,89th,33,1
AMD Ryzen 7 3700X 8-Core,88th,33,4
Intel Core i5-7600K,87th,34,1
AMD EPYC 7F32 8-Core,87th,34,1
Intel Xeon W-2295,86th,34,1
Intel Core i7-6700K,86th,35,2
Intel Core i7-7700K,86th,35,3
AMD EPYC 7F52 16-Core,85th,35,3
AMD Ryzen 5 3600X 6-Core,85th,35,4
AMD EPYC 7F72 24-Core,85th,35,-
AMD Ryzen Threadripper 2920X 12-Core,85th,35,-
Intel Core i7-4790K,85th,35,2
Intel Core i9-7960X,84th,36,3
Intel Xeon Silver 4215R,83rd,36,3
Intel Core i5-9500,83rd,36,-
Intel Core i7-7900X,83rd,36,2
Intel Xeon Gold 5218,81st,37,4
Intel Xeon Gold 6226R,81st,38,4
Intel Core i5-8400,81st,38,3
AMD Ryzen 7 2700X Eight-Core,80th,38,3
