Cpu name,Percentile,Average,St D
2 x AMD EPYC 75F3 32-Core,100th,342873,7189
2 x AMD EPYC 7642 48-Core,100th,320895,6877
AMD EPYC 7763 64-Core,100th,310761,43417
AMD EPYC 7713 64-Core,100th,289261,13779
AMD EPYC 7662 64-Core,100th,267323,4073
AMD EPYC 7702 64-Core,100th,262153,4091
2 x AMD EPYC 7502 32-Core,100th,255912,2053
2 x Intel Xeon Platinum 8280,100th,239665,21301
AMD EPYC 7552 48-Core,99th,227882,2936
AMD EPYC 7642 48-Core,99th,223769,17596
ARMv8 Neoverse-N1 64-Core,98th,186702,10370
2 x AMD EPYC 7352 24-Core,98th,182015,23289
AMD Ryzen Threadripper 3990X 64-Core,98th,179399,10304
2 x Intel Xeon Gold 6152,98th,176748,7307
AMD EPYC 7542 32-Core,98th,176573,1576
AMD EPYC 7502P 32-Core,97th,170834,1398
AMD EPYC 7532 32-Core,97th,169514,2189
AMD EPYC 7502 32-Core,97th,169295,2213
POWER9 44-Core,97th,165140,6925
AMD EPYC 7452 32-Core,96th,159462,1041
POWER9 altivec supported 44-Core,96th,156289,6619
AMD EPYC 7F72 24-Core,96th,150631,1370
2 x Intel Xeon Gold 5220R,95th,145265,2610
2 x Intel Xeon Gold 6140,95th,144152,13591
2 x Intel Xeon Gold 6230,95th,142432,17033
AMD EPYC 7402 24-Core,95th,139897,2497
AMD EPYC 7402P 24-Core,95th,138977,899
Intel Xeon Platinum 8280,94th,137907,2835
Intel Xeon Gold 6258R,94th,136842,1854
2 x Intel Xeon Gold 6130,94th,131815,2538
AMD EPYC 7352 24-Core,94th,125804,257
2 x AMD EPYC 7501 32-Core,94th,125571,18105
2 x Intel Xeon Platinum 8252C,94th,124291,1640
AMD EPYC 7F52 16-Core,92nd,108491,1619
2 x Intel Xeon E5-2683 v4,92nd,108404,8269
2 x AMD EPYC 7371 16-Core,92nd,106584,6667
2 x Intel Xeon E5-2690 v4,92nd,103131,511
Intel Core i9-10980XE,91st,100696,6719
AMD Ryzen 9 5950X 16-Core,91st,100468,10955
AMD EPYC 7601 32-Core,91st,99174,10354
AMD Ryzen 9 3950X 16-Core,91st,99026,6951
2 x Intel Xeon Gold 5118,91st,97374,1184
AMD EPYC 7302 16-Core,90th,95552,1279
AMD EPYC 7302P 16-Core,90th,94926,2221
AMD Ryzen 9 5900X 12-Core,90th,93430,5174
Intel Xeon Gold 6210U,90th,93177,2817
2 x AMD EPYC 7F32 8-Core,89th,91444,3072
AMD EPYC 7282 16-Core,89th,90909,458
2 x AMD EPYC 7301 16-Core,88th,88608,9994
Intel Core i9-7960X,87th,86240,5056
Intel Xeon Gold 6226R,87th,84826,712
Intel Xeon Gold 6138,86th,81174,11977
Intel Xeon Gold 5220R,86th,80864,1094
POWER9 altivec supported 64-Core,86th,80687,2971
AMD Ryzen 9 3900X 12-Core,85th,80063,4301
AMD EPYC 7401P 24-Core,85th,78466,5775
AMD Ryzen 9 3900XT 12-Core,84th,77657,2053
2 x Intel Xeon E5-2680 v2,84th,75431,3781
2 x Intel Xeon Silver 4210,83rd,74601,8096
AMD Ryzen Threadripper 2950X 16-Core,83rd,74599,5304
Intel Xeon D-2183IT,83rd,73953,251
2 x Intel Xeon Silver 4114,83rd,72863,4336
