Cpu name,Percentile,Average,St D
AMD Ryzen 9 5950X 16-Core,100th,1029,15
2 x Intel Xeon Platinum 8280,98th,994,30
AMD EPYC 7742 64-Core,97th,903,66
AMD EPYC 7552 48-Core,97th,886,23
AMD Ryzen 9 5900X 12-Core,96th,869,7
AMD EPYC 7662 64-Core,96th,864,5
AMD EPYC 7502P 32-Core,95th,857,-
AMD EPYC 7642 48-Core,95th,856,15
AMD EPYC 7502 32-Core,95th,855,2
AMD EPYC 7542 32-Core,95th,855,2
AMD EPYC 7452 32-Core,93rd,835,-
AMD Ryzen 9 3950X 16-Core,93rd,831,7
AMD EPYC 7F72 24-Core,91st,766,9
AMD EPYC 7532 32-Core,91st,754,47
AMD EPYC 7702 64-Core,91st,753,52
Intel Core i9-7980XE,91st,738,67
POWER9 altivec supported 44-Core,90th,725,5
2 x Intel Xeon Gold 6138,90th,723,20
AMD Ryzen 7 5800X 8-Core,90th,723,9
AMD EPYC 7402P 24-Core,90th,722,-
Intel Core i9-10900K,87th,705,11
2 x Intel Xeon Gold 6130,86th,688,3
2 x Intel Xeon Gold 6230,85th,670,50
2 x AMD EPYC 7F72 24-Core,84th,663,31
Intel Core i9-7960X,83rd,658,11
AMD Ryzen 9 3900X 12-Core,82nd,643,66
2 x AMD EPYC 7742 64-Core,82nd,638,51
Intel Xeon Gold 6226R,81st,619,2
AMD EPYC 7352 24-Core,80th,601,-
AMD EPYC 7282 16-Core,79th,572,4
AMD Ryzen 5 5600X 6-Core,79th,569,7
Intel Core i9-11900K,77th,555,4
AMD EPYC 7302P 16-Core,77th,550,23
Intel Core i9-9900KS,76th,545,5
AMD Ryzen 7 3800XT 8-Core,76th,541,14
AMD Ryzen Threadripper 2970WX 24-Core,73rd,516,21
Intel Core i7-7900X,73rd,507,30
Intel Core i9-9900K,73rd,507,64
Intel Xeon Gold 5218,72nd,493,13
Intel Xeon Silver 4216,72nd,492,1
AMD Ryzen Threadripper 2950X 16-Core,71st,483,47
2 x Intel Xeon E5-2680 v2,71st,477,42
2 x Intel Xeon E5-2630 v4,68th,442,25
Intel Xeon Silver 4214R,68th,438,-
AMD EPYC 7401P 24-Core,67th,431,57
