Cpu name,Cores,Average
AMD EPYC 7713 64-Core Processor,64,423919
AMD EPYC 75F3 32-Core Processor,32,342873
AMD EPYC 7642 48-Core Processor,48,320895
AMD EPYC 7763 64-Core Processor,64,310761
AMD EPYC 7713 64-Core Processor,64,289261
AMD EPYC 7662 64-Core Processor,64,267323
AMD EPYC 7702 64-Core Processor,64,262153
AMD EPYC 7502 32-Core Processor,32,255912
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,239665
AMD EPYC 7552 48-Core Processor,48,227882
AMD EPYC 7642 48-Core Processor,48,223769
Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,26,203939
No-Info,-1,186702
AMD Ryzen Threadripper 3990X 64-Core Processor,64,179399
Intel(R) Xeon(R) Gold 6152 CPU @ 2.10GHz,22,176748
AMD EPYC 7542 32-Core Processor,32,176573
Intel(R) Xeon(R) Gold 6230N CPU @ 2.30GHz,20,172157
AMD EPYC 7502P 32-Core Processor,32,170834
AMD EPYC 7532 32-Core Processor,32,169514
AMD EPYC 7502 32-Core Processor,32,169295
No-Info,-1,165140
AMD EPYC 7452 32-Core Processor,32,159462
No-Info,-1,156289
AMD EPYC 7F72 24-Core Processor,24,150631
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,145265
Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,18,144152
Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,20,142432
AMD EPYC 7402 24-Core Processor,24,139897
AMD EPYC 7402P 24-Core Processor,24,138977
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,137907
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,28,136842
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,16,131815
AMD EPYC 7352 24-Core Processor,24,125804
AMD EPYC 7501 32-Core Processor,32,125571
No-Info,-1,124291
AMD EPYC 7F52 16-Core Processor,16,108491
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,16,108404
AMD EPYC 7371 16-Core Processor,16,106584
No-Info,14,103131
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,100696
AMD Ryzen 9 5950X 16-Core Processor,16,100468
AMD EPYC 7601 32-Core Processor,32,99174
AMD Ryzen 9 3950X 16-Core Processor,16,99026
AMD EPYC 7302 16-Core Processor,16,95552
AMD EPYC 7302P 16-Core Processor,16,94926
AMD Ryzen 9 5900X 12-Core Processor,12,93430
Intel(R) Xeon(R) Gold 6210U CPU @ 2.50GHz,20,93177
AMD EPYC 7F32 8-Core Processor,8,91444
AMD EPYC 7282 16-Core Processor,16,90909
AMD EPYC 7301 16-Core Processor,16,88608
Intel(R) Core(TM) i9-7960X CPU @ 2.80GHz,16,86240
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,84826
Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,20,81174
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,80864
No-Info,-1,80687
AMD Ryzen 9 3900X 12-Core Processor,12,80063
AMD EPYC 7401P 24-Core Processor,24,78466
AMD Ryzen 9 3900XT 12-Core Processor,12,77657
No-Info,10,75431
No-Info,10,74601
AMD Ryzen Threadripper 2950X 16-Core Processor,16,74599
No-Info,-1,73953
Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,10,72863
No-Info,10,70887
AMD EPYC 7272 12-Core Processor,12,69422
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,16,67461
AMD Ryzen 7 5800X 8-Core Processor,8,67352
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,66830
