Cpu name,Cores,Average
AMD EPYC 7713 64-Core Processor,64,423919
AMD EPYC 75F3 32-Core Processor,32,342873
AMD EPYC 7642 48-Core Processor,48,320895
AMD EPYC 7763 64-Core Processor,64,310761
AMD EPYC 7713 64-Core Processor,64,289261
AMD EPYC 7662 64-Core Processor,64,267323
AMD EPYC 7702 64-Core Processor,64,262153
AMD EPYC 7502 32-Core Processor,32,255912
AMD EPYC 7552 48-Core Processor,48,227882
AMD EPYC 7642 48-Core Processor,48,223769
AMD Ryzen Threadripper 3990X 64-Core Processor,64,179399
AMD EPYC 7542 32-Core Processor,32,176573
AMD EPYC 7502P 32-Core Processor,32,170834
AMD EPYC 7532 32-Core Processor,32,169514
AMD EPYC 7502 32-Core Processor,32,169295
AMD EPYC 7452 32-Core Processor,32,159462
AMD EPYC 7F72 24-Core Processor,24,150631
AMD EPYC 7402 24-Core Processor,24,139897
AMD EPYC 7402P 24-Core Processor,24,138977
AMD EPYC 7352 24-Core Processor,24,125804
AMD EPYC 7501 32-Core Processor,32,125571
AMD EPYC 7F52 16-Core Processor,16,108491
AMD EPYC 7371 16-Core Processor,16,106584
AMD Ryzen 9 5950X 16-Core Processor,16,100468
AMD EPYC 7601 32-Core Processor,32,99174
AMD Ryzen 9 3950X 16-Core Processor,16,99026
AMD EPYC 7302 16-Core Processor,16,95552
AMD EPYC 7302P 16-Core Processor,16,94926
AMD Ryzen 9 5900X 12-Core Processor,12,93430
AMD EPYC 7F32 8-Core Processor,8,91444
AMD EPYC 7282 16-Core Processor,16,90909
AMD EPYC 7301 16-Core Processor,16,88608
AMD Ryzen 9 3900X 12-Core Processor,12,80063
AMD EPYC 7401P 24-Core Processor,24,78466
AMD Ryzen 9 3900XT 12-Core Processor,12,77657
AMD Ryzen Threadripper 2950X 16-Core Processor,16,74599
AMD EPYC 7272 12-Core Processor,12,69422
AMD Ryzen 7 5800X 8-Core Processor,8,67352
AMD EPYC 7351P 16-Core Processor,16,62460
AMD Ryzen 7 3700X 8-Core Processor,8,56376
AMD EPYC 7F32 8-Core Processor,8,56318
AMD Ryzen 7 3800X 8-Core Processor,8,55967
AMD Ryzen 5 5600X 6-Core Processor,6,54551
AMD EPYC 7252 8-Core Processor,8,47128
AMD EPYC 7232P 8-Core Processor,8,45969
AMD EPYC 7262 8-Core Processor,8,45509
AMD Ryzen 5 3600X 6-Core Processor,6,43808
AMD Ryzen 7 4800H with Radeon Graphics,8,40663
AMD Ryzen 7 2700X Eight-Core Processor,8,40300
AMD Ryzen 5 PRO 4650G with Radeon Graphics,6,37916
AMD Ryzen 7 1700X Eight-Core Processor,8,37572
AMD Ryzen 7 1800X Eight-Core Processor,8,37446
AMD Ryzen 7 2700 Eight-Core Processor,8,35839
AMD Ryzen 7 1700 Eight-Core Processor,8,33255
AMD Ryzen 5 2600X Six-Core Processor,6,32831
AMD Ryzen 3 3100 4-Core Processor,4,32636
AMD EPYC 7251 8-Core Processor,8,30917
AMD Ryzen 3 3300X 4-Core Processor,4,30630
AMD Ryzen 5 2600 Six-Core Processor,6,30266
AMD Ryzen 7 4700U with Radeon Graphics,8,29271
AMD Ryzen 5 1600X Six-Core Processor,6,28903
AMD Ryzen 5 1600 Six-Core Processor,6,28429
AMD Ryzen 5 4500U with Radeon Graphics,6,23797
AMD FX-8370 Eight-Core Processor,4,21474
AMD FX(tm)-8350 Eight-Core Processor,4,21315
AMD FX(tm)-8320 Eight-Core Processor,4,19873
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,19245
AMD Ryzen 5 2400G with Radeon Vega Graphics,4,18302
AMD Ryzen 3 1300X Quad-Core Processor,4,16422
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,15372
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,4,14985
"AMD A10-7870K Radeon R7, 12 Compute Cores 4C+8G",2,11452
AMD Athlon(tm) 5350 APU with Radeon(tm) R3,4,4805
