Cpu name,Cores,Average
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,239665
Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,26,203939
Intel(R) Xeon(R) Gold 6152 CPU @ 2.10GHz,22,176748
Intel(R) Xeon(R) Gold 6230N CPU @ 2.30GHz,20,172157
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,145265
Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,18,144152
Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,20,142432
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,137907
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,28,136842
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,16,131815
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,16,108404
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,100696
Intel(R) Xeon(R) Gold 6210U CPU @ 2.50GHz,20,93177
Intel(R) Core(TM) i9-7960X CPU @ 2.80GHz,16,86240
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,84826
Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,20,81174
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,80864
Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,10,72863
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,16,67461
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,66830
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,64546
Intel(R) Core(TM) i7-7900X CPU @ 3.30GHz,10,61527
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,8,58250
Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,12,56141
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8,55720
Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,10,54157
