Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
AMD EPYC 7713 64-Core Processor,64,2000,128,100th,1921747537
AMD EPYC 7763 64-Core Processor,64,2450,128,99th,1906737057
AMD EPYC 75F3 32-Core Processor,32,2950,64,99th,1900337570
AMD EPYC 7F52 16-Core Processor,16,3876,32,96th,1593214763
AMD EPYC 7F72 24-Core Processor,24,2500,48,92nd,1445737090
AMD EPYC 7713 64-Core Processor,64,2000,128,88th,1031406665
AMD EPYC 75F3 32-Core Processor,32,2950,64,88th,1027749068
AMD EPYC 7763 64-Core Processor,64,1500,128,87th,1009675318
AMD EPYC 7532 32-Core Processor,32,1390,64,86th,912271088
AMD EPYC 7642 48-Core Processor,48,1495,96,85th,893810269
AMD EPYC 7662 64-Core Processor,64,1497,128,84th,886573757
AMD EPYC 7742 64-Core Processor,64,1797,128,84th,886304293
AMD EPYC 7702 64-Core Processor,64,1417,128,82nd,871440575
AMD EPYC 7552 48-Core Processor,48,1340,96,81st,857923043
AMD EPYC 7601 32-Core Processor,32,2195,64,80th,841734822
AMD EPYC 7F32 8-Core Processor,8,1950,16,78th,810492945
AMD EPYC 7302P 16-Core Processor,16,1475,32,77th,789214057
AMD EPYC 7F52 16-Core Processor,16,2546,32,77th,785101715
AMD EPYC 7402P 24-Core Processor,24,2800,48,76th,780803219
AMD EPYC 7542 32-Core Processor,32,1465,64,75th,776464681
AMD EPYC 7502P 32-Core Processor,32,1473,64,75th,774614677
AMD Ryzen Threadripper 3970X 32-Core Processor,32,2200,64,69th,554862500
AMD EPYC 7272 12-Core Processor,12,1347,24,67th,458771061
AMD EPYC 7282 16-Core Processor,16,2800,32,66th,456856282
AMD Ryzen Threadripper 3990X 64-Core Processor,64,2900,128,64th,455661450
AMD EPYC 7232P 8-Core Processor,8,1495,16,63rd,450276393
AMD Ryzen Threadripper 3960X 24-Core Processor,24,2199,48,61st,405952222
AMD Ryzen Threadripper 2990WX 32-Core Processor,32,2003,64,60th,394741527
AMD Ryzen Threadripper 2950X 16-Core Processor,16,2473,32,59th,376383811
AMD Ryzen 7 1800X Eight-Core Processor,8,2200,16,50th,258903583
AMD Ryzen 7 2700 Eight-Core Processor,8,3702,16,47th,243082778
AMD Ryzen 7 1700 Eight-Core Processor,8,1550,16,46th,238986489
AMD Ryzen 3 1300X Quad-Core Processor,4,2437,4,45th,237986767
AMD Ryzen 3 3300X 4-Core Processor,4,2022,8,39th,233163734
AMD Ryzen 5 5600X 6-Core Processor,6,3579,12,38th,230871213
AMD Ryzen 9 3900XT 12-Core Processor,12,2200,24,37th,225793559
AMD Ryzen 7 5800X 8-Core Processor,8,2236,16,36th,225356167
AMD Ryzen 9 3900X 12-Core Processor,12,4054,24,36th,224896889
AMD Ryzen 5 3600XT 6-Core Processor,6,2203,12,34th,220614875
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1478,4,31st,213932133
AMD Ryzen 9 5950X 16-Core Processor,16,2200,32,29th,210988116
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,2073,8,26th,207741622
AMD Ryzen 5 2400G with Radeon Vega Graphics,4,1581,8,23rd,203569750
AMD Ryzen 7 3700X 8-Core Processor,8,2123,16,23rd,202314300
AMD Ryzen 9 3950X 16-Core Processor,16,2106,32,23rd,201328242
AMD Ryzen 7 3800XT 8-Core Processor,8,2794,16,20th,190316985
AMD Ryzen 5 4500U with Radeon Graphics,6,1400,6,20th,187221278
AMD FX-8370 Eight-Core Processor,4,1400,8,6th,118692142
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,2,1694,4,4th,104880309
