Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,2700,56,95th,1474208629
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,1000,36,89th,1226897182
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,28,3729,56,74th,773379211
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,1000,56,73rd,764154445
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,1000,36,72nd,696206914
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,1347,32,71st,692338967
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,800,32,70th,595098978
Intel(R) Core(TM) i9-7980XE CPU @ 2.60GHz,18,2600,36,67th,459775564
Intel(R) Core(TM) i9-7960X CPU @ 2.80GHz,16,2800,32,64th,454205625
Intel(R) Core(TM) i7-7900X CPU @ 3.30GHz,10,3300,20,62nd,433644181
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,1211,36,61st,413356700
Intel(R) Xeon(R) CPU E5-1680 v3 @ 3.20GHz,8,3200,16,58th,333448456
Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,10,3100,20,57th,303879044
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,4,2800,8,57th,296529142
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8,4994,16,56th,275865733
Intel(R) Core(TM) i7-6800K CPU @ 3.40GHz,6,1200,12,55th,273494250
Intel(R) Xeon(R) CPU E5-2609 v4 @ 1.70GHz,8,1699,8,52nd,265420089
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,8,3500,16,50th,258763763
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,1612,8,49th,254573129
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,4556,12,49th,250416592
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6,4946,12,49th,249503500
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6,3953,6,47th,246553900
Intel(R) Core(TM) i7-7740K CPU @ 4.30GHz,4,4300,8,45th,238007622
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,1106,16,44th,237654867
Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz,6,4800,12,41st,236390389
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,4499,8,41st,235333311
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,6,1113,12,36th,223806567
Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz,8,3699,16,34th,220091603
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,8,4982,16,33rd,219070386
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,3700,20,30th,212042888
Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,8,4560,16,26th,207595755
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6,1043,6,24th,204743878
Intel(R) Xeon(R) CPU E3-1275 v6 @ 3.80GHz,4,3767,8,22nd,197562133
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4,3629,4,22nd,197561633
Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,4,3500,8,19th,183000056
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,2,3900,4,18th,181296100
Intel(R) Xeon(R) CPU E3-1260L v5 @ 2.90GHz,4,2901,8,18th,180621467
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,4,3201,4,17th,178855800
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,4,3795,8,16th,178081322
Intel(R) Xeon(R) CPU E3-1280 v5 @ 3.70GHz,4,799,8,16th,173357211
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4,2909,8,15th,166479222
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4,2204,4,14th,162782978
Intel(R) Xeon(R) CPU E3-1240 v5 @ 3.50GHz,4,3500,8,14th,160379011
Intel(R) Core(TM) i7-5775C CPU @ 3.30GHz,4,3610,8,14th,160221900
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,4,2000,8,13th,155193500
Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz,4,3298,8,12th,151527800
Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,4,1064,8,11th,146144883
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,4401,4,10th,143393233
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,4,2225,4,8th,128697217
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,6,3999,12,7th,126149344
Intel(R) Xeon(R) E-2278GEL CPU @ 2.00GHz,8,1863,16,7th,122362527
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2,2624,4,6th,121560567
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,4,3801,4,4th,106164178
