CPU NAME,BENCHMARK,FREC,CORES
Intel Core i5-11600KF,11277,3.90 GHz,6
Intel Core i5-11600K,11277,3.90 GHz,6
Intel Core i5-10600KF,10489,4.10 GHz,6
Intel Core i5-10600K,10489,4.10 GHz,6
Intel Core i5-10600,9024,3.30 GHz,6
Intel Core i5-10500,8209,3.10 GHz,6
Intel Core i5-10400F,7610,2.90 GHz,6
Intel Core i5-10400,7610,2.90 GHz,6
Intel Core i5-8600K,7339,3.60 GHz,6
Intel Core i5-9600KF,7301,3.70 GHz,6
Intel Core i5-9600K,7301,3.70 GHz,6
Intel Core i5-1135G7,5913,2.40 GHz,4
Intel Core i5-8500B,5612,3.00 GHz,6
Intel Core i5-8500,5612,3.00 GHz,6
Intel Core i5-1038NG7,4995,2.00 GHz,4
Intel Core i5-8600T,4633,2.30 GHz,6
Intel Core i5-1035G7,4430,1.20 GHz,4
Intel Core i5-1035G4,4332,1.10 GHz,4
Intel Core i5-1035G1,4225,1.00 GHz,4
Intel Core i5-1030NG7,4189,1.10 GHz,4
Intel Core i5-1034G1,3956,0.80 GHz,4
Intel Core i5-8259U,3579,2.30 GHz,4
Intel Core i5-8250U,3118,1.60 GHz,4
Intel Core i5-8350U,3002,1.70 GHz,4
Intel Core i5-7200U,1978,2.50 GHz,2
Intel Core i5-8265U,1674,1.60 GHz,4
