CPU NAME,BENCHMARK,FREC,CORES
AMD Ryzen 7 5800X,15245,3.80 GHz,8
AMD Ryzen 7 PRO 5750G,14350,3.80 GHz,8
AMD Ryzen 7 5700G,14350,3.80 GHz,8
AMD Ryzen 7 5800,14065,3.40 GHz,8
AMD Ryzen 7 5800H,12969,3.20 GHz,8
AMD Ryzen 7 3800XT,12955,4.20 GHz,8
AMD Ryzen 7 PRO 4750G,12916,3.60 GHz,8
AMD Ryzen 7 3800X,12874,3.90 GHz,8
AMD Ryzen 7 3700X,12355,3.60 GHz,8
AMD Ryzen 7 Pro 5850U,11203,1.90 GHz,8
AMD Ryzen 7 5800U,11203,1.90 GHz,8
AMD Ryzen 7 4800HS,10590,2.90 GHz,8
AMD Ryzen 7 4800H,10590,2.90 GHz,8
AMD Ryzen 7 2700X,10545,3.70 GHz,8
AMD Ryzen 7 4800U,10156,1.80 GHz,8
AMD Ryzen 7 1800X,9314,3.60 GHz,8
AMD Ryzen 7 2700,8947,3.20 GHz,8
AMD Ryzen 7 Pro 1700X,8805,3.50 GHz,8
AMD Ryzen 7 1700X,8805,3.40 GHz,8
AMD Ryzen 7 PRO 4750U,8088,1.70 GHz,8
AMD Ryzen 7 Pro 1700,8065,3.00 GHz,8
AMD Ryzen 7 1700,8065,3.00 GHz,8
AMD Ryzen 7 4700U,6874,2.00 GHz,8
AMD Ryzen 7 PRO 2700U,2586,2.20 GHz,4
AMD Ryzen 7 2700U,2586,2.20 GHz,4
