Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
AMD EPYC 7763 64-Core Processor,64,2450,128,100th,1165729
AMD EPYC 7713 64-Core Processor,64,2000,128,99th,1134078
AMD EPYC 75F3 32-Core Processor,32,2950,64,96th,790295
AMD EPYC 7763 64-Core Processor,64,1500,128,93rd,635316
AMD EPYC 7742 64-Core Processor,64,1797,128,92nd,632144
AMD EPYC 7662 64-Core Processor,64,1497,128,92nd,632050
AMD EPYC 7713 64-Core Processor,64,2000,128,90th,630409
AMD EPYC 7642 48-Core Processor,48,1495,96,83rd,471067
AMD EPYC 7552 48-Core Processor,48,1340,96,82nd,469072
AMD Ryzen Threadripper 3990X 64-Core Processor,64,2900,128,80th,430911
AMD EPYC 7F52 16-Core Processor,16,3876,32,78th,380378
AMD EPYC 75F3 32-Core Processor,32,2950,64,77th,374494
AMD EPYC 7601 32-Core Processor,32,2200,64,74th,360683
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,28,3729,56,73rd,344134
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,1000,56,72nd,336299
AMD EPYC 7542 32-Core Processor,32,1465,64,71st,325232
AMD EPYC 7532 32-Core Processor,32,1390,64,69th,318077
AMD EPYC 7502P 32-Core Processor,32,1473,64,68th,317175
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,1000,36,63rd,220257
AMD EPYC 7402P 24-Core Processor,24,2800,48,62nd,211046
AMD Ryzen Threadripper 3970X 32-Core Processor,32,2200,64,62nd,210985
AMD Ryzen Threadripper 3960X 24-Core Processor,24,2199,48,60th,191329
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,1211,36,58th,183298
AMD EPYC 7302P 16-Core Processor,16,1475,32,54th,151515
AMD EPYC 7282 16-Core Processor,16,2800,32,52nd,150528
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,1347,32,51st,149765
AMD Ryzen Threadripper 2990WX 32-Core Processor,32,2003,64,49th,134065
AMD Ryzen 9 3950X 16-Core Processor,16,2106,32,46th,116454
AMD EPYC 7272 12-Core Processor,12,1347,24,46th,105308
AMD Ryzen Threadripper 2970WX 24-Core Processor,24,2200,48,44th,97447
AMD EPYC 7601 32-Core Processor,32,2195,64,42nd,87224
AMD Ryzen 9 3900X 12-Core Processor,12,4054,24,42nd,86717
AMD EPYC 7551 32-Core Processor,32,1996,64,40th,82147
AMD EPYC 7F32 8-Core Processor,8,1950,16,39th,79556
AMD Ryzen 9 3900XT 12-Core Processor,12,2200,24,37th,77576
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,4,2800,8,37th,77182
AMD Ryzen 7 3700X 8-Core Processor,8,2123,16,34th,72198
AMD Ryzen 5 5600X 6-Core Processor,6,3579,12,31st,67638
AMD Ryzen 7 5800X 8-Core Processor,8,2236,16,30th,65917
AMD EPYC 7232P 8-Core Processor,8,1495,16,29th,63840
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,3700,20,28th,57111
AMD Ryzen 5 3600XT 6-Core Processor,6,2203,12,26th,55061
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,800,32,25th,52487
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,1106,16,23rd,43024
AMD Ryzen 3 3300X 4-Core Processor,4,2022,8,22nd,36028
AMD Ryzen 5 4500U with Radeon Graphics,6,1400,6,20th,35212
Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,10,3100,20,20th,34964
Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz,8,3699,16,19th,33766
AMD Ryzen 7 1700 Eight-Core Processor,8,1550,16,16th,33029
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,4556,12,15th,30606
AMD Ryzen 7 2700 Eight-Core Processor,8,3702,16,14th,22947
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,6,1113,12,14th,22898
Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,8,4560,16,12th,21544
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,2073,8,11th,21110
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,4499,8,10th,20166
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,1612,8,8th,19319
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4,3629,4,7th,14018
Intel(R) Xeon(R) CPU E5-2609 v4 @ 1.70GHz,8,1699,8,6th,12068
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4,2204,4,5th,10547
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,2,1694,4,3rd,7459
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2,2624,4,2nd,6264
