Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
AMD EPYC 7763 64-Core Processor,64,2450,128,100th,1165729
AMD EPYC 7713 64-Core Processor,64,2000,128,99th,1134078
AMD EPYC 75F3 32-Core Processor,32,2950,64,96th,790295
AMD EPYC 7763 64-Core Processor,64,1500,128,93rd,635316
AMD EPYC 7742 64-Core Processor,64,1797,128,92nd,632144
AMD EPYC 7662 64-Core Processor,64,1497,128,92nd,632050
AMD EPYC 7713 64-Core Processor,64,2000,128,90th,630409
AMD EPYC 7642 48-Core Processor,48,1495,96,83rd,471067
AMD EPYC 7552 48-Core Processor,48,1340,96,82nd,469072
AMD Ryzen Threadripper 3990X 64-Core Processor,64,2900,128,80th,430911
AMD EPYC 7F52 16-Core Processor,16,3876,32,78th,380378
AMD EPYC 75F3 32-Core Processor,32,2950,64,77th,374494
AMD EPYC 7601 32-Core Processor,32,2200,64,74th,360683
AMD EPYC 7542 32-Core Processor,32,1465,64,71st,325232
AMD EPYC 7532 32-Core Processor,32,1390,64,69th,318077
AMD EPYC 7502P 32-Core Processor,32,1473,64,68th,317175
AMD EPYC 7402P 24-Core Processor,24,2800,48,62nd,211046
AMD Ryzen Threadripper 3970X 32-Core Processor,32,2200,64,62nd,210985
AMD Ryzen Threadripper 3960X 24-Core Processor,24,2199,48,60th,191329
AMD EPYC 7302P 16-Core Processor,16,1475,32,54th,151515
AMD EPYC 7282 16-Core Processor,16,2800,32,52nd,150528
AMD Ryzen Threadripper 2990WX 32-Core Processor,32,2003,64,49th,134065
AMD Ryzen 9 3950X 16-Core Processor,16,2106,32,46th,116454
AMD EPYC 7272 12-Core Processor,12,1347,24,46th,105308
AMD Ryzen Threadripper 2970WX 24-Core Processor,24,2200,48,44th,97447
AMD EPYC 7601 32-Core Processor,32,2195,64,42nd,87224
AMD Ryzen 9 3900X 12-Core Processor,12,4054,24,42nd,86717
AMD EPYC 7551 32-Core Processor,32,1996,64,40th,82147
AMD EPYC 7F32 8-Core Processor,8,1950,16,39th,79556
AMD Ryzen 9 3900XT 12-Core Processor,12,2200,24,37th,77576
AMD Ryzen 7 3700X 8-Core Processor,8,2123,16,34th,72198
AMD Ryzen 5 5600X 6-Core Processor,6,3579,12,31st,67638
AMD Ryzen 7 5800X 8-Core Processor,8,2236,16,30th,65917
AMD EPYC 7232P 8-Core Processor,8,1495,16,29th,63840
AMD Ryzen 5 3600XT 6-Core Processor,6,2203,12,26th,55061
AMD Ryzen 3 3300X 4-Core Processor,4,2022,8,22nd,36028
AMD Ryzen 5 4500U with Radeon Graphics,6,1400,6,20th,35212
AMD Ryzen 7 1700 Eight-Core Processor,8,1550,16,16th,33029
AMD Ryzen 7 2700 Eight-Core Processor,8,3702,16,14th,22947
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,2073,8,11th,21110
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,2,1694,4,3rd,7459
