Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,28,3729,56,73rd,344134
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,1000,56,72nd,336299
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,1000,36,63rd,220257
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,1211,36,58th,183298
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,1347,32,51st,149765
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,4,2800,8,37th,77182
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,3700,20,28th,57111
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,800,32,25th,52487
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,1106,16,23rd,43024
Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,10,3100,20,20th,34964
Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz,8,3699,16,19th,33766
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,4556,12,15th,30606
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,6,1113,12,14th,22898
Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,8,4560,16,12th,21544
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,4499,8,10th,20166
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,1612,8,8th,19319
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4,3629,4,7th,14018
Intel(R) Xeon(R) CPU E5-2609 v4 @ 1.70GHz,8,1699,8,6th,12068
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4,2204,4,5th,10547
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2,2624,4,2nd,6264
