Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
AMD Ryzen 9 5950X 16-Core Processor,16,2200,32,99th,13
AMD Ryzen 7 5800X 8-Core Processor,8,2236,16,98th,13
AMD Ryzen 5 5600X 6-Core Processor,6,3579,12,97th,13
AMD Ryzen 9 3900XT 12-Core Processor,12,2200,24,95th,15
AMD EPYC 75F3 32-Core Processor,32,2950,64,94th,16
AMD Ryzen 9 3950X 16-Core Processor,16,2106,32,94th,16
AMD EPYC 75F3 32-Core Processor,32,2950,64,94th,16
AMD Ryzen 7 3800XT 8-Core Processor,8,2794,16,94th,16
AMD Ryzen 5 3600XT 6-Core Processor,6,2203,12,93rd,16
AMD Ryzen Threadripper 3960X 24-Core Processor,24,2199,48,93rd,16
AMD Ryzen 9 3900X 12-Core Processor,12,4054,24,92nd,16
AMD Ryzen 7 3700X 8-Core Processor,8,2123,16,92nd,16
AMD Ryzen Threadripper 3970X 32-Core Processor,32,2200,64,91st,16
AMD Ryzen 5 3600X 6-Core Processor,6,2349,12,91st,16
AMD Ryzen 3 3300X 4-Core Processor,4,2022,8,90th,16
AMD Ryzen Threadripper 3990X 64-Core Processor,64,2900,128,88th,17
AMD Ryzen 7 2700X Eight-Core Processor,8,4157,16,87th,17
AMD Ryzen Threadripper 2990WX 32-Core Processor,32,2003,64,86th,18
AMD EPYC 7F32 8-Core Processor,8,1950,16,86th,18
AMD EPYC 7F52 16-Core Processor,16,2546,32,86th,18
AMD Ryzen 3 3100 4-Core Processor,4,1866,8,86th,18
AMD Ryzen 7 4700U with Radeon Graphics,8,1915,8,85th,18
AMD Ryzen 5 2600X Six-Core Processor,6,3972,12,85th,18
AMD Ryzen Threadripper 2950X 16-Core Processor,16,2473,32,85th,18
AMD Ryzen Threadripper 2970WX 24-Core Processor,24,2200,48,85th,18
AMD EPYC 7763 64-Core Processor,64,2450,128,85th,18
AMD EPYC 7F72 24-Core Processor,24,1886,48,83rd,19
AMD Ryzen 5 4500U with Radeon Graphics,6,1400,6,83rd,19
AMD EPYC 7F72 24-Core Processor,24,2500,48,82nd,19
AMD Ryzen 7 2700 Eight-Core Processor,8,3702,16,81st,19
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,2073,8,81st,19
AMD Ryzen 5 2600 Six-Core Processor,6,3225,12,81st,19
AMD Ryzen 7 1800X Eight-Core Processor,8,2200,16,80th,19
AMD EPYC 7542 32-Core Processor,32,1465,64,78th,20
AMD EPYC 7262 8-Core Processor,8,3272,16,78th,20
AMD EPYC 7742 64-Core Processor,64,2312,128,77th,20
AMD EPYC 7402P 24-Core Processor,24,2800,48,77th,20
AMD EPYC 7502 32-Core Processor,32,1795,64,76th,21
AMD EPYC 7502P 32-Core Processor,32,1473,64,76th,21
AMD Ryzen 3 1300X Quad-Core Processor,4,2437,4,76th,21
AMD EPYC 7452 32-Core Processor,32,1496,64,75th,21
AMD EPYC 7702 64-Core Processor,64,1417,128,75th,21
AMD EPYC 7642 48-Core Processor,48,1495,96,74th,21
AMD EPYC 7552 48-Core Processor,48,1340,96,73rd,21
AMD EPYC 7662 64-Core Processor,64,1497,128,73rd,21
AMD EPYC 7532 32-Core Processor,32,1390,64,73rd,21
AMD EPYC 7302P 16-Core Processor,16,1475,32,72nd,21
AMD Ryzen 5 2400G with Radeon Vega Graphics,4,1581,8,72nd,21
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1478,4,71st,21
AMD EPYC 7282 16-Core Processor,16,2800,32,70th,21
AMD EPYC 7272 12-Core Processor,12,1347,24,69th,22
AMD EPYC 7232P 8-Core Processor,8,1495,16,69th,22
AMD EPYC 7352 24-Core Processor,24,1496,48,66th,22
AMD EPYC 7252 8-Core Processor,8,1477,16,66th,22
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,2,1694,4,61st,23
AMD EPYC 7532 32-Core Processor,32,2395,64,60th,23
AMD EPYC 7601 32-Core Processor,32,2195,64,60th,23
AMD EPYC 7551 32-Core Processor,32,2000,64,54th,25
AMD EPYC 7551 32-Core Processor,32,1996,64,52nd,26
AMD EPYC 7551P 32-Core Processor,32,1996,64,46th,29
AMD FX(tm)-8350 Eight-Core Processor,4,1400,8,37th,35
AMD FX-8370E Eight-Core Processor,4,1400,8,37th,35
AMD FX-8370 Eight-Core Processor,4,1400,8,36th,36
AMD Athlon(tm) X4 845 Quad Core Processor,2,1800,4,31st,41
"AMD A10-7870K Radeon R7, 12 Compute Cores 4C+8G",2,1700,4,31st,41
"AMD A8-7670K Radeon R7, 10 Compute Cores 4C+6G",2,3724,4,26th,44
AMD A10-7850K APU with Radeon(TM) R7 Graphics,2,1696,4,25th,45
AMD Athlon(tm) 5350 APU with Radeon(tm) R3,4,800,4,12th,80
