Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,8,3500,16,96th,15
11th Gen Intel(R) Core(TM) i5-11600K @ 3.90GHz,6,3900,12,96th,15
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,3700,20,91st,16
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6,4946,12,89th,17
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8,4994,16,89th,17
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,1106,16,89th,17
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,8,4982,16,89th,17
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,4556,12,88th,17
Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,8,4560,16,87th,17
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,4499,8,84th,18
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,1211,36,84th,18
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,6,1113,12,83rd,19
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,1612,8,82nd,19
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,4401,4,82nd,19
Intel(R) Core(TM) i7-7740K CPU @ 4.30GHz,4,4300,8,82nd,19
Intel(R) Core(TM) i9-7980XE CPU @ 2.60GHz,18,2600,36,81st,19
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,4,3795,8,80th,19
Intel(R) Xeon(R) CPU E3-1275 v6 @ 3.80GHz,4,3767,8,80th,20
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,4,3801,4,79th,20
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6,1043,6,77th,20
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4,2909,8,77th,20
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6,3953,6,76th,21
Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz,4,3298,8,75th,21
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,4,2000,8,75th,21
Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,4,3500,8,71st,21
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,1347,32,69th,21
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,1000,36,69th,22
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,2700,56,69th,22
Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,8,1091,16,69th,22
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,1000,56,68th,22
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,16,1039,32,67th,22
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,4,2225,4,66th,22
Intel(R) Core(TM) i7-5775C CPU @ 3.30GHz,4,3610,8,66th,22
Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz,8,3699,16,66th,22
Intel(R) Core(TM) i7-9700TE CPU @ 1.80GHz,8,2410,8,65th,22
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,2,3900,4,65th,22
Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,24,1199,48,64th,22
Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,20,2000,40,64th,22
Intel(R) Core(TM) i7-6800K CPU @ 3.40GHz,6,1200,12,63rd,23
Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz,8,1200,16,63rd,23
Intel(R) Xeon(R) CPU E3-1260L v5 @ 2.90GHz,4,2901,8,62nd,23
Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz,2,3100,4,62nd,23
Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,4,1064,8,62nd,23
