Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
AMD Ryzen 9 5950X 16-Core Processor,16,2200,32,99th,13
AMD Ryzen 7 5800X 8-Core Processor,8,2236,16,98th,13
AMD Ryzen 5 5600X 6-Core Processor,6,3579,12,97th,13
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,8,3500,16,96th,15
11th Gen Intel(R) Core(TM) i5-11600K @ 3.90GHz,6,3900,12,96th,15
AMD Ryzen 9 3900XT 12-Core Processor,12,2200,24,95th,15
AMD EPYC 75F3 32-Core Processor,32,2950,64,94th,16
AMD Ryzen 9 3950X 16-Core Processor,16,2106,32,94th,16
AMD EPYC 75F3 32-Core Processor,32,2950,64,94th,16
AMD Ryzen 7 3800XT 8-Core Processor,8,2794,16,94th,16
AMD Ryzen 5 3600XT 6-Core Processor,6,2203,12,93rd,16
AMD Ryzen Threadripper 3960X 24-Core Processor,24,2199,48,93rd,16
AMD Ryzen 9 3900X 12-Core Processor,12,4054,24,92nd,16
AMD Ryzen 7 3700X 8-Core Processor,8,2123,16,92nd,16
AMD Ryzen Threadripper 3970X 32-Core Processor,32,2200,64,91st,16
AMD Ryzen 5 3600X 6-Core Processor,6,2349,12,91st,16
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,3700,20,91st,16
AMD Ryzen 3 3300X 4-Core Processor,4,2022,8,90th,16
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6,4946,12,89th,17
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8,4994,16,89th,17
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,1106,16,89th,17
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,8,4982,16,89th,17
AMD Ryzen Threadripper 3990X 64-Core Processor,64,2900,128,88th,17
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,4556,12,88th,17
Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,8,4560,16,87th,17
AMD Ryzen 7 2700X Eight-Core Processor,8,4157,16,87th,17
AMD Ryzen Threadripper 2990WX 32-Core Processor,32,2003,64,86th,18
AMD EPYC 7F32 8-Core Processor,8,1950,16,86th,18
AMD EPYC 7F52 16-Core Processor,16,2546,32,86th,18
