Cpu name,Cores,Threads
AMD Ryzen 9 5950X 16-Core Processor,16,32
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6,12
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,20
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8,16
AMD Ryzen 7 5800X 8-Core Processor,8,16
Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,8,8
AMD Ryzen 5 5600X 6-Core Processor,6,12
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,16
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,36
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,6,6
AMD Ryzen 9 3950X 16-Core Processor,16,32
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,6,12
AMD Ryzen Threadripper 3960X 24-Core Processor,24,48
AMD Ryzen 3 3300X 4-Core Processor,4,8
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,4
AMD Ryzen 9 3900X 12-Core Processor,12,24
AMD Ryzen 9 3900XT 12-Core Processor,12,24
Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,6,12
AMD Ryzen Threadripper 3970X 32-Core Processor,32,64
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4,8
AMD Ryzen Threadripper 2920X 12-Core Processor,12,24
AMD Ryzen 7 2700X Eight-Core Processor,8,16
AMD Ryzen 5 2600X Six-Core Processor,6,12
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,4,8
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6,6
AMD Ryzen 5 3600X 6-Core Processor,6,12
Intel(R) Pentium(R) CPU G3258 @ 3.20GHz,2,2
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,4,8
AMD Ryzen Threadripper 1900X 8-Core Processor,8,16
AMD Ryzen Threadripper 1950X 16-Core Processor,16,32
AMD Ryzen 7 2700 Eight-Core Processor,8,16
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,32
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,8
AMD EPYC 7F52 16-Core Processor,16,32
AMD Ryzen Threadripper 2990WX 32-Core Processor,32,64
AMD EPYC 7F32 8-Core Processor,8,16
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,4,4
Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,4,8
AMD Ryzen 5 2600 Six-Core Processor,6,12
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6,6
Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz,4,8
Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,18,36
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,4
Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,8,16
Intel(R) Xeon(R) CPU E5-2637 v4 @ 3.50GHz,4,8
Intel(R) Xeon(R) Gold 6238R CPU @ 2.20GHz,28,56
AMD EPYC 7F72 24-Core Processor,24,48
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,16,32
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,6,12
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,32
Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz,8,8
AMD EPYC 7742 64-Core Processor,64,128
AMD Ryzen 5 1600X Six-Core Processor,6,12
Intel(R) Core(TM) i5-7260U CPU @ 2.20GHz,2,4
AMD EPYC 7302 16-Core Processor,16,32
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz,16,32
Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz,8,16
Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,24,48
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,20,40
AMD EPYC 7542 32-Core Processor,32,64
Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,18,36
Intel(R) Xeon(R) CPU E5-2697 v3 @ 2.60GHz,14,28
AMD EPYC 7302P 16-Core Processor,16,32
AMD EPYC 7702 64-Core Processor,64,128
AMD EPYC 7452 32-Core Processor,32,64
AMD EPYC 7402P 24-Core Processor,24,48
AMD EPYC 7502P 32-Core Processor,32,64
AMD EPYC 7642 48-Core Processor,48,96
AMD EPYC 7402 24-Core Processor,24,48
AMD EPYC 7262 8-Core Processor,8,16
AMD Ryzen 5 2500U with Radeon Vega Mobile Gfx,4,8
AMD EPYC 7702P 64-Core Processor,64,128
AMD EPYC 7502 32-Core Processor,32,64
AMD EPYC 7552 48-Core Processor,48,96
AMD EPYC 7601 32-Core Processor,32,64
AMD Ryzen 5 1600 Six-Core Processor,6,12
AMD EPYC 7662 64-Core Processor,64,128
AMD EPYC 7601 32-Core Processor,32,64
Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,20,40
AMD EPYC 7532 32-Core Processor,32,64
Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,12,24
Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,4,8
Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,8,16
AMD EPYC 7232P 8-Core Processor,8,16
AMD EPYC 7282 16-Core Processor,16,32
AMD Ryzen 7 1700 Eight-Core Processor,8,16
AMD EPYC 7272 12-Core Processor,12,24
AMD EPYC 7252 8-Core Processor,8,16
Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz,14,28
AMD EPYC 7352 24-Core Processor,24,48
Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,2,4
Intel(R) Xeon(R) CPU E5-2667 0 @ 2.90GHz,6,12
Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,12,24
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,16,32
Intel(R) Xeon(R) CPU E5-2669 v3 @ 2.30GHz,12,24
AMD EPYC 7452 32-Core Processor,32,64
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,32
AMD EPYC 7401P 24-Core Processor,24,48
Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,10,20
Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,10,20
Intel(R) Core(TM) i5-6260U CPU @ 1.80GHz,2,4
AMD EPYC 7351 16-Core Processor,16,32
AMD EPYC 7532 32-Core Processor,32,64
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8,16
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,8,16
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8,16
Intel(R) Xeon(R) CPU           X5570  @ 2.93GHz,4,8
AMD EPYC 7351P 16-Core Processor,16,32
Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz,4,8
AMD FX(tm)-8350 Eight-Core Processor,4,8
AMD EPYC 7551 32-Core Processor,32,64
AMD EPYC 7551P 32-Core Processor,32,64
Intel(R) Core(TM)2 Duo CPU     E6750  @ 2.66GHz,2,2
Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,8,16
Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,20,40
Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,8,16
Intel(R) Celeron(R) CPU J3455 @ 1.50GHz,4,4
Loongson-3A R3 (Loongson-3A3000) @ 1400MHz,4,4
