Cpu name,Cores,Threads
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6,12
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,20
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8,16
Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,8,8
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,16
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,36
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,6,6
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,6,12
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,4
Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,6,12
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4,8
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,4,8
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6,6
Intel(R) Pentium(R) CPU G3258 @ 3.20GHz,2,2
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,4,8
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,32
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,8
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,4,4
Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,4,8
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6,6
Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz,4,8
Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,18,36
Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,8,16
Intel(R) Xeon(R) CPU E5-2637 v4 @ 3.50GHz,4,8
Intel(R) Xeon(R) Gold 6238R CPU @ 2.20GHz,28,56
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,16,32
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,6,12
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,32
Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz,8,8
Intel(R) Core(TM) i5-7260U CPU @ 2.20GHz,2,4
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz,16,32
Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz,8,16
Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,24,48
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,20,40
Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,18,36
Intel(R) Xeon(R) CPU E5-2697 v3 @ 2.60GHz,14,28
Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,20,40
Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,12,24
Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,4,8
Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,8,16
Intel(R) Xeon(R) CPU E5-2660 v4 @ 2.00GHz,14,28
Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,2,4
Intel(R) Xeon(R) CPU E5-2667 0 @ 2.90GHz,6,12
Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,12,24
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,16,32
Intel(R) Xeon(R) CPU E5-2669 v3 @ 2.30GHz,12,24
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,32
Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,10,20
Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,10,20
Intel(R) Core(TM) i5-6260U CPU @ 1.80GHz,2,4
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8,16
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,8,16
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8,16
Intel(R) Xeon(R) CPU           X5570  @ 2.93GHz,4,8
Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz,4,8
Intel(R) Core(TM)2 Duo CPU     E6750  @ 2.66GHz,2,2
Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,8,16
Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,20,40
Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,8,16
Intel(R) Celeron(R) CPU J3455 @ 1.50GHz,4,4
