Cpu name,Cores,Threads
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,20
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,4,8
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8,16
AMD Ryzen 7 5800X 8-Core Processor,8,16
AMD Ryzen 9 5950X 16-Core Processor,16,32
Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,18,36
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,12
AMD Ryzen 9 5900X 12-Core Processor,12,24
AMD Ryzen 5 5600X 6-Core Processor,6,12
Intel(R) Core(TM) i9-7920X CPU @ 2.90GHz,12,12
AMD Ryzen Threadripper 3990X 64-Core Processor,64,128
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,16
AMD Ryzen 9 3900XT 12-Core Processor,12,24
AMD Ryzen 9 3950X 16-Core Processor,16,32
AMD Ryzen Threadripper 3970X 32-Core Processor,32,64
AMD Ryzen 3 3300X 4-Core Processor,4,8
AMD Ryzen 7 3800X 8-Core Processor,8,16
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6,12
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,4,8
AMD Ryzen 9 3900X 12-Core Processor,12,24
Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,2,4
AMD Ryzen 7 3700X 8-Core Processor,8,16
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,4,4
AMD EPYC 7F32 8-Core Processor,8,16
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,18,36
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,4,8
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,8
AMD EPYC 7F52 16-Core Processor,16,32
AMD Ryzen 5 3600X 6-Core Processor,6,12
AMD EPYC 7F72 24-Core Processor,24,48
AMD Ryzen Threadripper 2920X 12-Core Processor,12,24
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,4
Intel(R) Core(TM) i9-7960X CPU @ 2.80GHz,16,32
Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,8,16
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,6,6
Intel(R) Core(TM) i7-7900X CPU @ 3.30GHz,10,20
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,16,32
Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,16,32
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6,6
AMD Ryzen 7 2700X Eight-Core Processor,8,16
AMD Ryzen Threadripper 2950X 16-Core Processor,16,32
Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz,8,16
AMD EPYC 7262 8-Core Processor,8,16
AMD EPYC 7542 32-Core Processor,32,64
AMD EPYC 7502 32-Core Processor,32,64
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,4,4
AMD EPYC 7452 32-Core Processor,32,64
AMD EPYC 7502P 32-Core Processor,32,64
AMD EPYC 7702 64-Core Processor,64,128
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,6,12
AMD EPYC 7552 48-Core Processor,48,96
AMD EPYC 7662 64-Core Processor,64,128
AMD EPYC 7532 32-Core Processor,32,64
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,28,56
AMD EPYC 7642 48-Core Processor,48,96
AMD EPYC 7402P 24-Core Processor,24,48
AMD EPYC 7742 64-Core Processor,64,128
AMD Ryzen 7 2700 Eight-Core Processor,8,16
Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,8,16
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,36
AMD EPYC 7282 16-Core Processor,16,32
AMD EPYC 7252 8-Core Processor,8,16
AMD EPYC 7272 12-Core Processor,12,24
AMD EPYC 7352 24-Core Processor,24,48
Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,12,24
Intel(R) Pentium(R) CPU G3258 @ 3.20GHz,2,2
Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,4,8
Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,8,16
AMD EPYC 7232P 8-Core Processor,8,16
AMD Ryzen 5 2600X Six-Core Processor,6,12
Intel(R) Core(TM) i7-4700HQ CPU @ 2.40GHz,4,8
Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,10,20
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,2,4
AMD Ryzen 5 2400G with Radeon Vega Graphics,4,8
AMD Ryzen Threadripper 1950X 16-Core Processor,16,32
AMD Ryzen 5 1600X Six-Core Processor,6,12
AMD Ryzen 3 1300X Quad-Core Processor,4,4
AMD Ryzen 7 1800X Eight-Core Processor,8,16
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4,4
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,4
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,2,4
Intel(R) Core(TM) i5-4278U CPU @ 2.60GHz,2,4
Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,16,32
Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,2,4
Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz,4,8
Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,24,48
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,6,12
AMD EPYC 7401P 24-Core Processor,24,48
AMD EPYC 7601 32-Core Processor,32,64
AMD EPYC 7601 32-Core Processor,32,64
AMD EPYC 7351P 16-Core Processor,16,32
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8,16
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,16,32
AMD FX-8370E Eight-Core Processor,4,8
Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz,4,4
"AMD A10-7870K Radeon R7, 12 Compute Cores 4C+8G",2,4
AMD FX(tm)-8350 Eight-Core Processor,4,8
Intel(R) Atom(TM) CPU C3950 @ 1.70GHz,16,16
Intel(R) Core(TM)2 Duo CPU     P7350  @ 2.00GHz,2,2
Intel(R) Atom(TM) x5-Z8350  CPU @ 1.44GHz,4,4
