Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
AMD EPYC 7601 32-Core Processor,32,2200,64,99th,3
AMD Ryzen Threadripper 3970X 32-Core Processor,32,2200,64,99th,3
AMD Ryzen Threadripper 2990WX 32-Core Processor,32,2003,64,96th,4
AMD EPYC 7502 32-Core Processor,32,1796,64,96th,4
AMD Ryzen Threadripper 2970WX 24-Core Processor,24,2200,48,95th,5
AMD EPYC 7601 32-Core Processor,32,2195,64,94th,5
AMD Ryzen 9 5950X 16-Core Processor,16,2200,32,94th,5
AMD Ryzen 9 3950X 16-Core Processor,16,2106,32,91st,5
AMD Ryzen Threadripper 2950X 16-Core Processor,16,2473,32,87th,7
AMD Ryzen Threadripper 1950X 16-Core Processor,16,3399,32,85th,7
AMD Ryzen 9 3900X 12-Core Processor,12,4054,24,84th,8
AMD EPYC 7702 64-Core Processor,64,1417,128,83rd,8
AMD Ryzen Threadripper 2920X 12-Core Processor,12,2239,24,82nd,8
AMD EPYC 7351P 16-Core Processor,16,2395,32,81st,9
AMD Ryzen 7 5800X 8-Core Processor,8,2236,16,80th,9
AMD Ryzen 7 3800XT 8-Core Processor,8,2794,16,78th,10
AMD EPYC 7281 16-Core Processor,16,2096,32,77th,10
AMD Ryzen 7 3700X 8-Core Processor,8,2123,16,76th,11
AMD EPYC 7662 64-Core Processor,64,1497,128,76th,11
AMD Ryzen 7 3800X 8-Core Processor,8,4199,16,74th,12
AMD Ryzen 7 2700X Eight-Core Processor,8,4157,16,73rd,12
AMD Ryzen 5 5600X 6-Core Processor,6,3579,12,73rd,12
AMD EPYC 7552 48-Core Processor,48,1340,96,72nd,12
AMD EPYC 7502P 32-Core Processor,32,1473,64,71st,12
AMD EPYC 7542 32-Core Processor,32,1465,64,71st,13
AMD Ryzen 7 1700 Eight-Core Processor,8,1550,16,70th,13
AMD Ryzen 7 2700 Eight-Core Processor,8,3702,16,70th,13
AMD Ryzen 7 1800X Eight-Core Processor,8,2200,16,69th,14
AMD EPYC 7352 24-Core Processor,24,1496,48,68th,14
AMD EPYC 7532 32-Core Processor,32,1390,64,67th,14
AMD Ryzen 5 3600X 6-Core Processor,6,2349,12,67th,14
AMD EPYC 7272 12-Core Processor,12,1347,24,65th,15
AMD Ryzen 5 2600X Six-Core Processor,6,3972,12,64th,16
AMD EPYC 7232P 8-Core Processor,8,1495,16,61st,18
AMD Ryzen 7 4700U with Radeon Graphics,8,1915,8,60th,19
AMD Ryzen 5 1600 Six-Core Processor,6,4242,12,60th,19
AMD Ryzen 5 2600 Six-Core Processor,6,3225,12,60th,19
AMD EPYC 7F32 8-Core Processor,8,1950,16,60th,19
AMD EPYC 7252 8-Core Processor,8,1477,16,60th,19
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,2073,8,54th,24
AMD Ryzen 5 4500U with Radeon Graphics,6,1400,6,53rd,26
AMD Ryzen 5 2400G with Radeon Vega Graphics,4,1581,8,53rd,26
AMD Ryzen 5 1400 Quad-Core Processor,4,1550,8,49th,28
AMD Ryzen 5 2500U with Radeon Vega Mobile Gfx,4,1280,8,41st,36
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1478,4,41st,36
AMD Athlon 3000G with Radeon Vega Graphics,2,1986,4,31st,52
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,2,1694,4,26th,74
AMD A10-7850K APU with Radeon(TM) R7 Graphics,2,1696,4,23rd,84
