Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz,24,2457,48,98th,3
Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,18,1000,36,96th,4
Intel(R) Xeon(R) CPU E5-2682 v4 @ 2.50GHz,16,2492,32,91st,6
Intel(R) Core(TM) i9-10900KF CPU @ 3.70GHz,10,3700,20,87th,7
Intel(R) Core(TM) i9-7960X CPU @ 2.80GHz,16,2800,32,87th,7
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,18,1647,36,85th,7
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,3700,20,83rd,8
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,8,3500,16,80th,9
Intel(R) Core(TM) i7-7900X CPU @ 3.30GHz,10,3300,20,76th,11
Intel(R) Core(TM) i9-9900KS CPU @ 4.00GHz,8,4994,16,76th,11
Intel(R) Core(TM) i9-9820X CPU @ 3.30GHz,10,1200,20,75th,11
11th Gen Intel(R) Core(TM) i5-11600K @ 3.90GHz,6,3900,12,71st,12
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,4556,12,67th,14
Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,8,1407,16,63rd,16
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,8,1800,16,57th,21
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6,1043,6,56th,22
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,4499,8,55th,23
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,4,3795,8,55th,23
Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz,8,2162,8,54th,24
Intel(R) Xeon(R) CPU E3-1240 v5 @ 3.50GHz,4,3500,8,50th,27
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,4401,4,50th,27
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4,3699,8,49th,28
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,4,4005,8,48th,29
Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,4,4186,4,47th,30
Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,4,799,8,44th,32
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,4,3801,4,44th,33
Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,4,2657,4,43rd,33
Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,4,2100,8,43rd,34
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4,3629,4,40th,38
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,4,847,4,39th,39
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,4,800,4,38th,39
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,4,3201,4,38th,39
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,4,2794,8,38th,39
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4,2909,8,37th,41
Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz,4,1685,8,37th,42
Intel(R) Core(TM) i7-4710HQ CPU @ 2.50GHz,4,2501,8,36th,42
Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2,2900,4,28th,67
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2,2624,4,28th,67
Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,2,2700,4,26th,75
Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,2,2400,4,24th,80
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2,2676,4,24th,83
Intel(R) Xeon(R) D-2191 CPU @ 1.60GHz,18,800,36,22nd,87
Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz,24,1000,48,12th,139
Intel(R) Atom(TM) x5-Z8350  CPU @ 1.44GHz,4,1679,4,6th,233
